2023-02-01 17:51:02,232 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.6-x86_64-i386-64bit
2023-02-01 17:51:02,233 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 17:51:04,841 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 18:03:29,185 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-01 18:03:29,190 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 18:03:29,191 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2023-02-01 18:03:33,959 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
2023-02-01 18:03:33,960 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.6-x86_64-i386-64bit
2023-02-01 18:03:33,960 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 18:03:36,648 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 18:04:20,175 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-01 18:04:20,178 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 18:04:20,180 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2023-02-01 18:04:24,560 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
2023-02-01 18:04:24,560 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.6-x86_64-i386-64bit
2023-02-01 18:04:24,560 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 18:04:27,513 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 18:05:40,489 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 18:06:17,018 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 18:06:19,500 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 18:06:42,877 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-01 18:06:42,881 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 18:06:42,882 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2023-02-01 18:06:46,977 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
2023-02-01 18:06:46,977 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.6-x86_64-i386-64bit
2023-02-01 18:06:46,978 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 18:06:49,617 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 18:08:38,217 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-01 18:08:53,981 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-01 18:08:53,983 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-01 18:08:53,985 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-01 18:09:11,290 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
2023-02-01 18:09:11,290 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.6-x86_64-i386-64bit
2023-02-01 18:09:11,290 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-01 18:09:14,191 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-01 18:10:57,988 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from E3B6D8B5-E814-4EC8-30D3-C58AADA24D08
2023-02-12 18:51:35,786 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-12 18:51:35,787 | MainThread   | [INFO    ] | <module>            |: info
2023-02-12 18:51:35,789 | MainThread   | [WARNING ] | <module>            |: warning
2023-02-12 18:51:35,790 | MainThread   | [ERROR   ] | <module>            |: error
2023-02-12 18:51:35,792 | MainThread   | [CRITICAL] | <module>            |: critical
2023-02-12 18:51:40,871 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
2023-02-12 18:51:40,872 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.6-x86_64-i386-64bit
2023-02-12 18:51:40,872 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-12 18:51:43,684 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-12 18:51:55,775 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 3E8FB54A-DE75-5568-901D-E91E2BD0E736
2023-02-12 18:54:22,529 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-12 18:54:22,529 | MainThread   | [INFO    ] | <module>            |: info
2023-02-12 18:54:22,530 | MainThread   | [WARNING ] | <module>            |: warning
2023-02-12 18:54:22,532 | MainThread   | [ERROR   ] | <module>            |: error
2023-02-12 18:54:22,534 | MainThread   | [CRITICAL] | <module>            |: critical
2023-02-12 18:54:26,095 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-12 18:54:28,667 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
2023-02-12 18:54:52,869 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 3E8FB54A-DE75-5568-901D-E91E2BD0E736
2023-02-12 19:02:44,995 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:24:6a:9a:3c
2023-02-12 19:02:47,892 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:24:6a:9a:3c
